,2
0,KRT6A
1,S100A7
2,KRT16
3,KRT5
4,S100A9
5,ACTB
6,S100A8
7,SPRR2G
8,KRT10
9,MT-CO2
10,SPRR2E
11,CD74
12,AQP3
13,MT-ND2
14,CDSN-4
15,CDSN-2
16,KRT1
17,HSPA8
18,RPS24
19,SPRR1B
20,CASP14
21,MT-ND1
22,ACTG1
23,TPT1
24,GAPDH
25,HLA-DRB1-3
26,ENO1
27,HSP90AA1
28,SPRR2D
29,FOS
30,RPS6
31,TUBB
32,PTMA
33,PKM
34,KRT6C
35,FTH1
36,C3
37,HLA-B-2
38,HLA-A-4
39,FABP5
40,S100A2
41,KRTDAP
42,PPIA
43,EIF4A1
44,RPS27A
45,HLA-C
46,ENSG00000285132
47,SERPINB4
48,HSP90B1
49,TMSB4X
50,SERPINB3
51,RPL32
52,BLMH
53,RPL21
54,HNRNPA1
55,RPL26
56,SPRR2A
57,CFL1
58,TPM4
59,RPL6
60,NPM1
61,HLA-DRA-5
62,HLA-DRA-6
63,HLA-DRA-1
64,HSPA5
65,TUBA1B
66,B2M
67,HNRNPA2B1
68,CALR
69,LDHA
70,LDHA-1
71,LCE3D
72,COL3A1
73,RPL41
74,MT-ND6
75,B2M-1
76,TUBA1C
77,ANXA2
78,RPS3A
79,HSP90AB1
80,NCL
81,SPRR1A
82,COL1A1
83,GLTP
84,S100A11
85,RPL23
86,RPL11
87,S100A10
88,TGM3
89,SBSN
90,RPS12
91,HLA-A
92,LCP1
93,RPL17
94,PFN1
95,DCN
96,SFN
97,MSN
98,PDIA3
99,SOD2
100,EGR1
101,CXCL9
102,RPL7
103,HLA-DPB1-6
104,HLA-DPB1-5
105,SPRR2B
106,RPS23
107,IVL
108,PLA2G4E
109,S100A7A
110,FABP5P7
111,FOSB
112,YBX1
113,CANX-1
114,IFFO2
115,RPS27
116,S100A14
117,ZFP36
118,RPL19
119,KRT17
120,TACSTD2
121,P4HB
122,SH3BGRL3
123,MYL6
124,RPS7
125,RPL14
126,ARPC2
127,TPI1
128,CTSB
129,RAN
130,CD24
131,DDR1-5
132,RPL4
133,HNRNPA3
134,PI3
135,IFI16
136,HLA-B-1
137,HLA-B-4
138,YWHAZ
139,CSTA
140,ENSG00000237550
141,GBP1
142,HLA-DRA-7
143,KRT80
144,ANXA1
145,CDH1
146,WARS1
147,PGK1
148,RPL39
149,RPL5
150,HNRNPU
151,DUSP1
152,DDX39B-3
153,RPL12
154,VCP
155,KLK7
156,CXCL10
157,KLK10
158,DYNLL1
159,ENSG00000273673
160,CAP1
161,PRDX1
162,CNFN
163,DSG3
164,LY6D
165,VIM
166,C1R-1
167,C1R
168,HLA-DPA1-2
169,TPM3
170,C1S
171,CTSZ
172,GBP2
173,RPS29
174,GM2A
175,SLC25A5
176,CCT5
177,LGALS7B-1
178,RPL24
179,EEF1B2-1
180,EEF1B2
181,STAT1
182,CTSL
183,NAMPT
184,STEAP4
185,LGALSL
186,HSPA1B-3
187,RPL23A
188,CHI3L2
189,RPS13
190,GSTM1
191,IGFBP4
192,GDI2
193,S100A16
194,JUNB
195,SNHG5
196,ENSG00000258017
197,CCDC80
198,CA2
199,HLA-DQB1-5
200,CLCA2
201,IL36RN
202,STAT3
203,IFITM3
204,EIF5B
205,RPL31
206,RPS17
207,TNFAIP2
208,PA2G4
209,TIMP1
210,CD63
211,RPSA
212,RPL36A
213,EIF4G2
214,HLA-DQA1-4
215,KRT78
216,CCL18-2
217,HNRNPC
218,PPIB
219,DDX5
220,FSTL1
221,HAL
222,RPS20
223,PGAM1
224,WDR1
225,IFI30
226,MCL1
227,THY1
228,FTL
229,CALM1
230,EHF
231,RNASE1
232,CTSC
233,RPS25
234,RPS25-1
235,CSTB
236,F13A1
237,TXN
238,LYPD3
239,VDAC1
240,CCT3
241,SGK1
242,RPS15A
243,HSPD1
244,MALAT1
245,IMPA2
246,HNRNPK
247,KTN1
248,TAP1
249,RPL35A
250,ATP5F1B
251,IMPDH2
252,LYZ
253,LYPD5
254,TUBB6
255,CD207
256,TUBB4B
257,TMSB10
258,NCCRP1
259,METRNL
260,BTF3
261,RPL27A
262,TYMP
263,SERBP1
264,YWHAB
265,RPL37
266,MX1
267,MT-ATP8
268,RPS18
269,HLA-DPA1-5
270,SERPINE2
271,ARHGDIB
272,THBS1
273,XRCC5
274,NME2
275,S100A6
276,EIF1
277,PLA2G2F
278,RPL34
279,ACTR3
280,PDIA6
281,RPS9-3
282,IL1RN
283,TAGLN2
284,CLEC2B
285,NOP56
286,OAS3
287,PBX2-4
288,UBA52
289,CDH3
290,CCT6A
291,YWHAE
292,A2ML1
293,GGCT
294,IFIT3
295,SMPD3
296,CCT8
297,FBN1
298,BZW1
299,ATP6V1B2
300,KLF4
301,FAM25A
302,ATF4
303,ALDH3B2
304,ENSG00000244398
305,MACROH2A1
306,MYL12B
307,CCL13
308,SLC7A5
309,XRCC6
310,LRRC59
311,PSMD1
312,CCL19
313,RPN2
314,EIF5
315,EPHX3
316,PARP14
317,CASP4
318,CPA4
319,SLC5A1
320,CD44
321,RPS18-2
322,RPS18-1
323,RPS18-5
324,TAF15
325,RPL7A
326,RPL7A-1
327,PSMC5
328,RAB10
329,CD163
330,LCE3E
331,RPL3P4
332,COTL1
333,RAC1
334,TNFSF10
335,PARP9
336,NFE2L2
337,CDKN1A
338,ARPC3
339,DBI
